Instagram,Facebook,Twitter,Linkedin,Discord,Twitch,Ingresos
11.25770153,2.943173697,6.803809476,15.87360626,5.545977073,21.23860139,269.8007412
9.304230016,2.709957612,5.095496262,13.46710709,5.900347321,18.86912234,86.75248748
,4.936658613,6.173091624,14.46114145,6.763816458,22.10765797,348.5699745
9.423370131,4.507282046,7.762059115,15.63512926,7.707726391,19.37803266,415.9766196
,5.258533355,5.760110744,13.58507966,6.574549884,22.04562775,346.1673612
9.459845309,4.155854045,9.583169915,13.79433266,5.920767681,21.11883233,518.9070194
10.76986548,4.314324163,6.161329903,13.50383139,7.096600556,20.44230266,305.012738
10.02223226,5.160176571,7.490063882,14.4545464,6.861219943,20.9319682,450.3304421
9.877503385,4.076455848,6.354965964,15.58616676,7.446985277,21.90924708,291.4539891
11.97015571,5.576740522,,13.56370931,7.363695489,21.6872116,403.7856855
10.84970359,3.099347965,7.334177313,13.02067017,6.334497399,19.7211991,304.13106
9.461612117,3.199751586,6.735832034,15.43788783,7.60532043,19.671519,248.8424474
9.791101978,5.402973263,6.946941884,13.24403863,7.493078322,21.11693098,420.5624611
10.8130372,6.066138077,7.241591352,16.48895611,5.481138758,20.18147156,516.630107
10.70111766,2.590502273,6.116134109,14.56486033,8.141050631,21.75568952,181.0643686
9.890489503,4.408222034,8.392669303,15.21825072,7.882495506,20.95014098,462.1757904
10.93015017,3.991998596,,14.05979038,6.904058434,22.07478084,446.9730387
9.751617933,4.145458063,6.734566157,16.41150525,7.177841783,21.86525951,323.8419113
8.145587554,2.310315079,6.40383929,14.91241591,7.249373474,21.94707949,136.0265697
9.549164807,4.590002151,5.731931708,13.96320786,6.942015968,22.36953812,272.2005383
10.27042067,4.693357592,6.264644749,14.8442819,8.124671774,21.39625347,333.8677577
9.210733886,3.859285334,7.996681988,14.1853807,6.074527958,20.52336756,379.1406741
10.4006327,4.24835996,7.262984359,13.95091932,6.559457196,21.42459702,374.7331057
9.381028526,4.8553954,6.916893028,13.16172486,4.775851096,20.7274117,371.7805583
9.738283317,,8.625577595,16.66205997,5.040333084,22.06358768,411.3791798
10.66642473,2.885225561,7.569063259,15.76451783,7.817139323,21.11941197,310.0656143
11.32654144,4.851031066,8.053128225,14.49673919,7.234257382,21.15428316,493.3595111
9.869435907,,,15.39166035,6.883585792,22.46050315,414.3023882
12.52690965,,,15.51959614,7.316811,20.23320546,280.0714247
11.24075064,3.713795992,6.089622604,14.97616245,7.783327091,22.05921816,269.8647444
10.17723732,4.430872052,3.90964019,,6.553626861,20.65317301,141.5044045
7.564820894,4.39026924,7.513979594,14.45311824,6.453404881,21.23144496,352.2492172
10.03523912,3.437388858,5.956037574,13.31070787,8.766220369,21.47584794,213.8562451
9.659145712,4.143836939,7.276966409,14.40855786,8.028720414,22.13346967,355.9592367
10.20664814,2.267663155,7.554822189,13.9909119,7.517613583,20.64148212,251.9638167
10.98944668,4.301359153,6.942873774,13.45312123,7.94304184,21.78914741,364.7320078
11.50926935,5.166402941,7.918054878,13.31777103,6.350025791,19.17046101,506.0839228
10.60857446,3.007282537,5.693057049,17.80200635,6.971589398,21.33822594,187.012687
9.728338444,4.796597286,5.538380408,15.01805363,5.21779882,19.29038206,278.9760449
9.393593555,4.65889459,6.540708573,14.60407514,8.22560198,21.41778438,334.6979928
8.033602268,4.73783468,7.853139833,13.64747721,6.621138309,20.03972576,407.9672241
9.712768809,2.912822189,7.966573435,15.29932517,8.910580082,21.66598729,322.1065164
10.64644252,3.54801395,8.164512289,16.43299399,7.501938514,20.24356027,401.803008
10.33306027,2.025706532,5.706731119,15.64507773,7.026363886,22.02569629,107.4450673
10.69041171,3.687690659,7.954884485,15.13274386,7.593903996,22.54145063,393.7521315
9.858132342,4.433764068,6.013401384,15.12654276,8.603174622,21.39430358,290.3919931
8.773780302,3.774625722,6.026321158,15.79698723,7.978731,19.56862381,226.4659318
10.07394881,4.516722876,6.244702573,15.1545524,7.206072873,19.64851054,317.112218
,,5.984863553,15.54358467,6.124521793,20.70031476,306.811732
10.91588204,3.689650674,,13.78344072,4.334334726,22.55422484,288.9074984
9.613895535,2.389165296,7.026365412,16.09032666,8.883469383,21.13107879,217.0136024
8.854764038,5.270283622,7.147350489,15.47144433,7.100247602,20.49067362,414.5620645
9.707537828,4.496877277,6.325587072,15.73705792,7.084061438,20.9239248,316.4231793
12.25711346,5.649871131,8.02336356,13.1562982,8.555430169,20.27553662,561.3496835
8.971385751,4.320081038,6.148841671,12.96040091,8.25179653,20.69790172,269.9881797
8.896384078,2.565053108,7.22855464,15.91098877,5.891641328,20.36307254,230.5113413
9.300872058,5.264584227,6.491245405,16.03610242,6.522004829,19.03574532,376.2625813
10.40347245,4.517199278,8.51376667,15.84094697,6.697985282,19.21001218,489.8203672
8.756832832,4.285154143,6.560643646,13.84459566,7.760320616,19.29066006,295.8483366
11.17301015,4.34205079,7.400512761,15.30768216,8.060772421,20.55660892,409.2596246
9.443008617,3.554833147,7.153036205,14.03933992,7.400904179,20.90948753,300.1905388
8.905704826,3.567904577,6.170220577,14.58169174,6.600315618,21.40055016,221.3374045
9.649642973,3.863282566,7.037618054,13.60062874,7.942923221,19.80061572,316.3140851
8.474881532,3.389789741,6.586836539,14.95646528,6.000015078,19.61842461,232.0810124
,5.766770207,5.934628934,14.14287113,8.242977907,19.42545614,390.6046925
9.825262696,5.121917198,5.805667976,14.16020349,9.427760289,21.65199366,320.9034576
10.78244652,3.54759789,4.821288281,13.71504287,7.255330685,21.5653223,154.1297546
9.610036805,2.968253887,6.411995513,14.58785413,6.276523628,18.52917416,209.3443876
8.923026283,4.011049191,5.7392,,7.730756221,20.55242493,222.4089758
11.49436909,3.69133384,,16.21930858,6.434189553,20.96088044,243.890576
9.696902934,2.849266949,5.211235319,15.35620396,7.651305712,20.93922714,117.4344352
8.623675139,4.849871751,6.77991086,15.34329623,8.765439012,19.42809057,353.4585505
9.961509286,5.216999283,6.481245176,14.62504209,7.650768077,21.82342803,380.4724844
9.483338108,4.334481408,7.478154793,14.35174672,5.584805279,19.87836995,380.6969383
10.31990919,2.494095752,5.659941146,14.44442071,7.562657738,20.53789932,133.7464175
8.273900675,4.114750752,7.429729424,13.29857138,6.358906364,20.70706044,336.4776245
10.97804417,2.138264498,6.177376247,15.08545595,7.809576846,20.45431455,159.9267633
8.587787076,3.897381218,6.19814395,13.9993045,7.162735305,20.73722534,239.3253234
9.496293728,4.339326976,5.219312032,13.72387722,7.525626972,20.96707934,215.5858093
10.30438668,3.442389939,5.725213196,15.47504369,6.708675348,21.93173645,208.307478
10.85671441,3.611250908,8.154901102,14.49160005,7.37226005,21.12864824,404.1550554
8.356763369,2.773576548,5.574315587,14.00550708,6.714807871,22.40175968,110.0787384
9.724600815,4.043924368,6.121306148,14.38488971,6.208086302,20.91736323,266.0908318
10.39999206,5.252851424,6.090864308,13.81185316,7.131981336,21.44322329,360.5245857
9.096176758,,,15.06906681,7.496108004,18.63451466,254.1918065
11.40443136,4.540428979,5.102916632,15.45279218,8.247261401,21.1490332,261.163655
10.00011334,2.697186189,5.818911467,15.70659139,6.394031925,21.33268572,157.2815138
8.435200253,3.302146391,7.08155531,14.90996612,5.680215226,20.93704113,260.9318377
10.83845497,3.26628963,5.69302932,15.05541445,8.627015303,23.47593316,202.1498019
9.678185761,5.098404571,6.427097052,14.58453074,7.027289166,21.76163098,362.7984813
10.63239231,3.885569278,6.384964189,14.33681418,6.048735896,19.85159022,290.5656995
8.998497143,3.68538303,6.887499178,15.22035072,8.367069793,22.14890597,285.2165275
10.4972954,4.341693268,6.710161904,15.35066877,6.479329733,21.10977916,346.8004052
10.5998369,3.127923637,5.881882889,15.20605944,7.838132585,19.68857491,202.0564541
9.070865524,4.382838923,6.208660175,15.51598305,5.548396775,20.87229495,287.5513002
9.647572572,3.234351717,6.594482907,15.63708655,7.175371803,20.84637868,245.0124901
10.89004895,3.913391014,7.740620209,16.49108101,7.102657771,21.46723569,401.5702096
9.258394683,2.937193902,6.449147795,14.55349359,7.797682269,21.89305464,203.2639834
9.478027695,1.525391915,6.34987433,14.3402761,7.939253048,20.58708618,99.37553734
9.781881609,3.973358762,6.502685765,15.04884389,6.555141278,20.60696013,291.6414178
9.577235929,4.582391389,6.292473569,15.74266249,7.580342626,20.99453142,317.7275857
9.511706362,3.896598434,6.558396983,,8.286913761,21.07327231,287.3747511
9.732073577,5.05668746,,14.49646299,5.235633575,22.38198808,430.5065877
11.72233224,2.958180598,4.900278175,13.80380629,8.18992387,22.77547168,135.5716498
9.105117611,4.593463022,,15.94275576,6.343948148,22.98794852,394.9886445
8.381266189,4.668386301,5.933638884,14.97746956,6.55357444,21.18561336,273.6854325
9.615580793,3.824963913,7.035277217,15.6842975,,20.59710764,318.441648
10.16042078,5.085289585,,13.35797076,6.465904184,20.23681399,403.4363619
9.70614822,4.232557411,7.82417688,14.13037251,6.595145533,21.0410158,402.0816673
9.498320252,4.250380635,6.388398204,15.24787973,7.87108472,21.31629655,298.3260212
10.56842291,3.867169272,5.590803088,17.10142948,7.798750119,20.10604064,237.9508011
10.78540603,6.533069304,5.346034312,15.58402114,6.95030175,20.86098165,409.1784868
10.66264712,4.213841178,5.699686586,14.52782055,5.915019092,20.14522352,265.1794784
9.85311587,3.788307309,6.841718855,14.98749389,8.000331505,21.65265898,304.2773544
11.71518347,2.745894853,5.955670106,15.45118457,5.708298829,21.95900956,201.4972128
